Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
-0.295829059,-0.682643432,-0.395847428,0.782047997,-1.68056389,-0.11184007,0.018,0.034,165,0.368
-0.072400334,-0.949671776,-0.395847428,0.782047997,-1.68056389,-0.11184007,0.024,0.037,165,0.334
0.374457116,-1.030336588,-0.395847428,0.782047997,-1.68056389,-0.060877563,0.036,0.037,164,0.312
0.597885841,-0.671517251,-0.395847428,0.782047997,0.360397637,-0.009915057,0.05,0.047,165,0.36
1.044743291,-1.505980826,-0.395847428,0.782047997,-1.68056389,-0.162802576,0.04,0.066,165,0.456
1.268172016,-1.505980826,-0.395847428,0.782047997,-1.68056389,-0.162802576,,0.066,165,0.456
1.268172016,-0.96218873,-0.395847428,0.782047997,0.360397637,0.04104745,0.04,0.086,166,0.301
1.268172016,-0.96218873,-0.395847428,0.782047997,0.360397637,0.04104745,0.074,0.086,166,0.301
-0.072400334,-0.126334382,-0.351231644,-1.277345062,0.768589942,0.04104745,0.218,0.008,184,0.148
-2.753545036,-0.672908024,-0.351231644,0.782047997,0.496461739,-0.009915057,0.041,0.03,161,0.489
-0.072400334,-0.672908024,-0.351231644,0.782047997,-1.68056389,-0.009915057,0.014,0.044,166,0.197
